execution	cohort	cohort_sort	dependence	dependence_sort	dependence_type	independence	model	model_sort	model_adjustment	model_context	model_note
1	female_bipolar_disorder	1	tcw_ukb_estradiol_detection_female_adjust	1	linear	bipolar_disorder_type_1_2;age;body	1	1	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	tcw_ukb_estradiol_detection_female_unadjust	1	linear	bipolar_disorder_type_1_2;age;body	2	2	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	tcw_ukb_estradiol_detection_female_premenopause_adjust	1	linear	bipolar_disorder_type_1_2;age;body	3	3	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	tcw_ukb_estradiol_detection_female_premenopause_unadjust	1	linear	bipolar_disorder_type_1_2;age;body	4	4	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	tcw_ukb_estradiol_female_premenopause_adjust	1	linear	bipolar_disorder_type_1_2;age;body	5	5	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	tcw_ukb_estradiol_female_premenopause_unadjust	1	linear	bipolar_disorder_type_1_2;age;body	6	6	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	tcw_ukb_estradiol_bioavailable_female_adjust	1	linear	bipolar_disorder_type_1_2;age;body	7	7	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	tcw_ukb_estradiol_bioavailable_female_unadjust	1	linear	bipolar_disorder_type_1_2;age;body	8	8	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	tcw_ukb_estradiol_bioavailable_female_premenopause_adjust	1	linear	bipolar_disorder_type_1_2;age;body	9	9	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	tcw_ukb_estradiol_bioavailable_female_premenopause_unadjust	1	linear	bipolar_disorder_type_1_2;age;body	10	10	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	tcw_ukb_estradiol_free_female_adjust	1	linear	bipolar_disorder_type_1_2;age;body	11	11	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	tcw_ukb_estradiol_free_female_unadjust	1	linear	bipolar_disorder_type_1_2;age;body	12	12	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	tcw_ukb_estradiol_free_female_premenopause_adjust	1	linear	bipolar_disorder_type_1_2;age;body	13	13	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	tcw_ukb_estradiol_free_female_premenopause_unadjust	1	linear	bipolar_disorder_type_1_2;age;body	14	14	unadjust	marginal	unadjust marginal
